full: 10/1200 worlds, 30 executions, 3.16s
full: 20/1200 worlds, 60 executions, 6.33s
full: 30/1200 worlds, 90 executions, 9.67s
full: 40/1200 worlds, 120 executions, 13.23s
full: 50/1200 worlds, 150 executions, 16.64s
full: 60/1200 worlds, 180 executions, 20.17s
full: 70/1200 worlds, 210 executions, 23.78s
full: 80/1200 worlds, 240 executions, 26.86s
full: 90/1200 worlds, 270 executions, 30.45s
full: 100/1200 worlds, 300 executions, 33.79s
full: 110/1200 worlds, 330 executions, 36.77s
full: 120/1200 worlds, 360 executions, 40.00s
full: 130/1200 worlds, 390 executions, 43.35s
full: 140/1200 worlds, 420 executions, 47.60s
full: 150/1200 worlds, 450 executions, 51.66s
full: 160/1200 worlds, 480 executions, 55.51s
full: 170/1200 worlds, 510 executions, 59.22s
full: 180/1200 worlds, 540 executions, 62.48s
full: 190/1200 worlds, 570 executions, 66.09s
full: 200/1200 worlds, 600 executions, 69.38s
full: 210/1200 worlds, 630 executions, 72.44s
full: 220/1200 worlds, 660 executions, 75.58s
full: 230/1200 worlds, 690 executions, 79.13s
full: 240/1200 worlds, 720 executions, 82.93s
full: 250/1200 worlds, 750 executions, 86.15s
full: 260/1200 worlds, 780 executions, 89.58s
full: 270/1200 worlds, 810 executions, 93.60s
full: 280/1200 worlds, 840 executions, 97.77s
full: 290/1200 worlds, 870 executions, 102.73s
full: 300/1200 worlds, 900 executions, 106.66s
full: 310/1200 worlds, 930 executions, 110.05s
full: 320/1200 worlds, 960 executions, 113.76s
full: 330/1200 worlds, 990 executions, 117.62s
full: 340/1200 worlds, 1020 executions, 121.83s
full: 350/1200 worlds, 1050 executions, 125.50s
full: 360/1200 worlds, 1080 executions, 129.50s
full: 370/1200 worlds, 1110 executions, 133.73s
full: 380/1200 worlds, 1140 executions, 137.49s
full: 390/1200 worlds, 1170 executions, 141.77s
full: 400/1200 worlds, 1200 executions, 145.57s
full: 410/1200 worlds, 1230 executions, 149.01s
full: 420/1200 worlds, 1260 executions, 152.67s
full: 430/1200 worlds, 1290 executions, 156.50s
full: 440/1200 worlds, 1320 executions, 160.54s
full: 450/1200 worlds, 1350 executions, 164.54s
full: 460/1200 worlds, 1380 executions, 168.58s
full: 470/1200 worlds, 1410 executions, 172.77s
full: 480/1200 worlds, 1440 executions, 176.41s
full: 490/1200 worlds, 1470 executions, 180.18s
full: 500/1200 worlds, 1500 executions, 183.43s
full: 510/1200 worlds, 1530 executions, 186.41s
full: 520/1200 worlds, 1560 executions, 189.42s
full: 530/1200 worlds, 1590 executions, 192.85s
full: 540/1200 worlds, 1620 executions, 196.66s
full: 550/1200 worlds, 1650 executions, 200.17s
full: 560/1200 worlds, 1680 executions, 203.74s
full: 570/1200 worlds, 1710 executions, 207.39s
full: 580/1200 worlds, 1740 executions, 210.58s
full: 590/1200 worlds, 1770 executions, 214.17s
full: 600/1200 worlds, 1800 executions, 217.50s
full: 610/1200 worlds, 1830 executions, 220.22s
full: 620/1200 worlds, 1860 executions, 222.82s
full: 630/1200 worlds, 1890 executions, 225.82s
full: 640/1200 worlds, 1920 executions, 228.96s
full: 650/1200 worlds, 1950 executions, 231.91s
full: 660/1200 worlds, 1980 executions, 235.23s
full: 670/1200 worlds, 2010 executions, 238.41s
full: 680/1200 worlds, 2040 executions, 241.61s
full: 690/1200 worlds, 2070 executions, 244.74s
full: 700/1200 worlds, 2100 executions, 247.96s
full: 710/1200 worlds, 2130 executions, 250.72s
full: 720/1200 worlds, 2160 executions, 253.70s
full: 730/1200 worlds, 2190 executions, 256.62s
full: 740/1200 worlds, 2220 executions, 259.80s
full: 750/1200 worlds, 2250 executions, 262.55s
full: 760/1200 worlds, 2280 executions, 265.79s
full: 770/1200 worlds, 2310 executions, 268.56s
full: 780/1200 worlds, 2340 executions, 271.51s
full: 790/1200 worlds, 2370 executions, 274.67s
full: 800/1200 worlds, 2400 executions, 277.24s
full: 810/1200 worlds, 2430 executions, 279.88s
full: 820/1200 worlds, 2460 executions, 282.63s
full: 830/1200 worlds, 2490 executions, 285.49s
full: 840/1200 worlds, 2520 executions, 288.79s
full: 850/1200 worlds, 2550 executions, 291.28s
full: 860/1200 worlds, 2580 executions, 294.19s
full: 870/1200 worlds, 2610 executions, 297.21s
full: 880/1200 worlds, 2640 executions, 299.62s
full: 890/1200 worlds, 2670 executions, 302.66s
full: 900/1200 worlds, 2700 executions, 305.17s
full: 910/1200 worlds, 2730 executions, 308.28s
full: 920/1200 worlds, 2760 executions, 311.36s
full: 930/1200 worlds, 2790 executions, 314.90s
full: 940/1200 worlds, 2820 executions, 318.49s
full: 950/1200 worlds, 2850 executions, 321.79s
full: 960/1200 worlds, 2880 executions, 325.44s
full: 970/1200 worlds, 2910 executions, 328.79s
full: 980/1200 worlds, 2940 executions, 331.80s
full: 990/1200 worlds, 2970 executions, 335.31s
full: 1000/1200 worlds, 3000 executions, 338.65s
full: 1010/1200 worlds, 3030 executions, 341.28s
full: 1020/1200 worlds, 3060 executions, 343.87s
full: 1030/1200 worlds, 3090 executions, 346.51s
full: 1040/1200 worlds, 3120 executions, 349.36s
full: 1050/1200 worlds, 3150 executions, 351.84s
full: 1060/1200 worlds, 3180 executions, 354.40s
full: 1070/1200 worlds, 3210 executions, 357.03s
full: 1080/1200 worlds, 3240 executions, 359.69s
full: 1090/1200 worlds, 3270 executions, 362.41s
full: 1100/1200 worlds, 3300 executions, 365.14s
full: 1110/1200 worlds, 3330 executions, 369.39s
full: 1120/1200 worlds, 3360 executions, 373.70s
full: 1130/1200 worlds, 3390 executions, 377.66s
full: 1140/1200 worlds, 3420 executions, 381.76s
full: 1150/1200 worlds, 3450 executions, 385.87s
full: 1160/1200 worlds, 3480 executions, 390.18s
full: 1170/1200 worlds, 3510 executions, 394.60s
full: 1180/1200 worlds, 3540 executions, 398.92s
full: 1190/1200 worlds, 3570 executions, 403.34s
full: 1200/1200 worlds, 3600 executions, 407.38s
