candidate,parent,stage,scope,cases,all_complete,mean_s_per_source,parent_mean_s_per_source,delta,faster,equal,slower
route_r1,base,quick,quick,60,True,468.0632711111156,463.8932927353391,4.169978375776509,19,2,39
route_r2,base,quick,quick,60,True,464.0687860262996,463.8932927353391,0.17549329096050315,23,5,32
route_r3,base,quick,quick,60,True,461.1784291954618,463.8932927353391,-2.714863539877342,30,7,23
route_r3,base,full,full,1200,True,452.0996386643184,451.9007815083406,0.19885715597780518,495,186,519
visibility_r1,base,quick,quick,60,True,464.03292617516325,463.8932927353391,0.1396334398241379,22,13,25
visibility_r2,base,quick,quick,60,True,464.03292617516325,463.8932927353391,0.1396334398241379,22,13,25
visibility_r3,base,quick,quick,60,True,464.281885658483,463.8932927353391,0.3885929231439036,24,16,20
hex_r1,base,quick,quick,60,True,463.76035301852727,463.8932927353391,-0.13293971681184757,17,30,13
hex_r2,base,quick,quick,60,True,463.50110942540493,463.8932927353391,-0.3921833099341825,19,30,11
hex_r2,base,full,full,1200,True,451.83022528997196,451.9007815083406,-0.07055621836860837,370,560,270
hex_r2,base,exposed,combined,2400,True,455.37228301324956,455.43447612387087,-0.06219311062130828,769,1062,569
hex_r2,base,exposed,v1,1200,True,451.83022528997196,451.9007815083406,-0.07055621836860837,370,560,270
hex_r2,base,exposed,previous_final,1200,True,458.9143407365272,458.9681707394012,-0.05383000287400819,399,502,299
hex_r3,hex_r2,quick,quick,60,True,463.5990843029311,463.50110942540493,0.09797487752615552,18,33,9
hex_r3,hex_r2,full,full,1200,True,451.6407813669766,451.83022528997196,-0.18944392299533774,290,721,189
hex_r3,hex_r2,exposed,combined,2400,True,455.1664589287132,455.37228301324956,-0.2058240845363457,604,1416,380
hex_r3,hex_r2,exposed,v1,1200,True,451.6407813669766,451.83022528997196,-0.18944392299533774,290,721,189
hex_r3,hex_r2,exposed,previous_final,1200,True,458.6921364904498,458.9143407365272,-0.22220424607741052,314,695,191
hex_r4,hex_r3,quick,quick,60,True,463.90210412166215,463.5990843029311,0.3030198187310589,9,33,18
hex_r4,hex_r3,full,full,1200,True,452.02948261155524,451.6407813669766,0.38870124457861266,157,694,349
hex_r5,hex_r3,quick,quick,60,True,463.80651003426317,463.5990843029311,0.20742573133207998,12,31,17
hex_r5,hex_r3,full,full,1200,True,451.890741558133,451.6407813669766,0.24996019115639,236,611,353
hex_r6,hex_r3,quick,quick,60,True,463.6433077692226,463.5990843029311,0.044223466291498426,11,45,4
hex_r6,hex_r3,full,full,1200,True,451.62748628296316,451.6407813669766,-0.01329508401346402,206,861,133
hex_r6,hex_r3,exposed,combined,2400,True,455.09404230042327,455.1664589287132,-0.07241662828994322,449,1664,287
hex_r6,hex_r3,exposed,v1,1200,True,451.62748628296316,451.6407813669766,-0.01329508401346402,206,861,133
hex_r6,hex_r3,exposed,previous_final,1200,True,458.56059831788343,458.6921364904498,-0.13153817256636557,243,803,154
hex_r7,hex_r6,quick,quick,60,True,463.72802294271736,463.6433077692226,0.08471517349477153,8,37,15
hex_r8,hex_r6,quick,quick,60,True,463.6386713826515,463.6433077692226,-0.004636386571064577,5,51,4
hex_r9,hex_r6,quick,quick,60,True,463.6405066282738,463.6433077692226,-0.002801140948804459,6,47,7
minradius_r1,hex_r3,quick,quick,60,True,463.5990843029311,463.5990843029311,0.0,0,60,0
minradius_r2,hex_r3,quick,quick,60,True,463.5990843029311,463.5990843029311,0.0,0,60,0
minradius_r3,hex_r3,quick,quick,60,True,463.5990843029311,463.5990843029311,0.0,0,60,0
minradius_r3,hex_r3,full,full,1200,True,451.6447715773717,451.6407813669766,0.003990210395102167,18,1173,9
finite_r1,hex_r6,quick,quick,60,True,462.32260062156564,463.6433077692226,-1.3207071476569467,37,4,19
finite_r1,hex_r6,full,full,1200,True,451.48232439050753,451.62748628296316,-0.14516189245563282,700,57,443
finite_r2,hex_r6,quick,quick,60,True,463.79146579127615,463.6433077692226,0.14815802205356476,40,1,19
finite_r3,hex_r6,quick,quick,60,True,462.68833713802667,463.6433077692226,-0.9549706311959199,37,0,23
finite_r3,hex_r6,full,full,1200,True,450.81451179775956,451.62748628296316,-0.8129744852035969,823,8,369
finite_r3,hex_r6,exposed,combined,2400,True,454.2971522936834,455.09404230042327,-0.7968900067398863,1623,19,758
finite_r3,hex_r6,exposed,v1,1200,True,450.81451179775956,451.62748628296316,-0.8129744852035969,823,8,369
finite_r3,hex_r6,exposed,previous_final,1200,True,457.77979278960726,458.56059831788343,-0.7808055282761757,800,11,389
finite_r3_guarded,finite_r3,quick,quick,60,True,462.68833713802667,462.68833713802667,0.0,0,60,0
finite_r3_guarded,finite_r3,full,full,1200,True,450.81451179775956,450.81451179775956,0.0,0,1200,0
finite_r4,finite_r3_guarded,quick,quick,60,True,462.68833713802667,462.68833713802667,0.0,0,60,0
finite_r5,finite_r3_guarded,quick,quick,60,True,462.68833713802667,462.68833713802667,0.0,0,60,0
finite_r6,finite_r3_guarded,quick,quick,60,True,461.645674441654,462.68833713802667,-1.0426626963726449,31,4,25
finite_r6,finite_r3_guarded,full,full,1200,True,450.43148338237904,450.81451179775956,-0.38302841538052235,620,46,534
finite_r6,finite_r3_guarded,exposed,combined,2400,True,453.89007582532946,454.2971522936834,-0.407076468353921,1251,81,1068
finite_r6,finite_r3_guarded,exposed,v1,1200,True,450.43148338237904,450.81451179775956,-0.38302841538052235,620,46,534
finite_r6,finite_r3_guarded,exposed,previous_final,1200,True,457.3486682682799,457.77979278960726,-0.43112452132737644,631,35,534
finite_r7,finite_r6,quick,quick,60,True,463.23228949011366,461.645674441654,1.5866150484596346,22,5,33
finite_r7,finite_r6,full,full,1200,True,450.38232577654804,450.43148338237904,-0.04915760583099882,567,78,555
finite_r7,finite_r6,exposed,combined,2400,True,453.7274879198952,453.89007582532946,-0.1625879054342363,1145,149,1106
finite_r7,finite_r6,exposed,v1,1200,True,450.38232577654804,450.43148338237904,-0.04915760583099882,567,78,555
finite_r7,finite_r6,exposed,previous_final,1200,True,457.0726500632424,457.3486682682799,-0.27601820503747376,578,71,551
finite_r8,finite_r6,quick,quick,60,True,461.11951127478625,461.645674441654,-0.5261631668677751,34,2,24
finite_r8,finite_r6,full,full,1200,True,450.3297707396475,450.43148338237904,-0.10171264273157021,605,50,545
