case_id,mode,group,seed_cluster,cleared_count,source_count,complete,error,exit_reason,average_clear_time_s,total_virtual_time_s,distance_m,requests,clear_failures,program_runtime_s
LOCAL-final-q3-reference_assumed-542637487,3,reference_assumed,542637487,15,15,True,,user_exit,187.81020633333335,2817.153095,10380.765477153269,131,5,0.0352845840388909
LOCAL-final-q3-reference_assumed-379721249,3,reference_assumed,379721249,14,14,True,,user_exit,212.8952157857143,2980.533021,11297.66511445498,127,3,0.02577695797663182
LOCAL-final-q3-reference_assumed-138718803,3,reference_assumed,138718803,13,13,True,,user_exit,253.4672577692308,3295.074351,12835.371743424379,130,8,0.027999209007248282
LOCAL-final-q3-reference_assumed-706083910,3,reference_assumed,706083910,15,15,True,,user_exit,206.463522,3096.95283,11854.764148140377,131,10,0.0391241250326857
LOCAL-final-q3-reference_assumed-1589673444,3,reference_assumed,1589673444,12,12,True,,user_exit,237.48460158333333,2849.815219,10539.076107377092,131,5,0.017454624990932643
LOCAL-final-q3-reference_assumed-1318552240,3,reference_assumed,1318552240,10,10,True,,user_exit,274.7809815,2747.809815,9939.04906999081,134,6,0.030986833036877215
LOCAL-final-q3-reference_assumed-1920603491,3,reference_assumed,1920603491,15,15,True,,user_exit,194.53071146666667,2917.960672,10889.803350920653,134,11,0.024001166922971606
LOCAL-final-q3-reference_assumed-660545497,3,reference_assumed,660545497,12,12,True,,user_exit,256.63923558333335,3079.670827,11648.354122928338,132,5,0.02559883298818022
LOCAL-final-q3-reference_assumed-585073781,3,reference_assumed,585073781,11,11,True,,user_exit,247.8384,2726.2224,10016.111995018526,128,6,0.026799665996804833
LOCAL-final-q3-reference_assumed-1409103709,3,reference_assumed,1409103709,11,11,True,,user_exit,240.81272372727273,2648.939961,9764.699806007913,122,3,0.029206832987256348
LOCAL-final-q3-reference_assumed-1472757889,3,reference_assumed,1472757889,10,10,True,,user_exit,304.04487290000003,3040.448729,11412.243635868848,133,4,0.029439584002830088
LOCAL-final-q3-reference_assumed-1822718464,3,reference_assumed,1822718464,13,13,True,,user_exit,266.9616313076923,3470.501207,13397.5060145711,142,10,0.03471541707403958
LOCAL-final-q3-reference_assumed-1345464915,3,reference_assumed,1345464915,15,15,True,,user_exit,221.4826938,3322.240407,12741.202041097207,137,6,0.03343345795292407
LOCAL-final-q3-reference_assumed-1296697544,3,reference_assumed,1296697544,12,12,True,,user_exit,251.19287799999998,3014.314536,11371.572667689383,134,12,0.04169874999206513
LOCAL-final-q3-reference_assumed-1324213427,3,reference_assumed,1324213427,12,12,True,,user_exit,263.9007931666667,3166.809518,11999.047585378368,137,9,0.044137165998108685
LOCAL-final-q3-reference_assumed-596427591,3,reference_assumed,596427591,13,13,True,,user_exit,208.67843707692307,2712.819682,10004.098419508962,125,3,0.031286666984669864
LOCAL-final-q3-reference_assumed-542945113,3,reference_assumed,542945113,11,11,True,,user_exit,250.06581572727274,2750.723973,9938.619867258134,134,5,0.031082917004823685
LOCAL-final-q3-reference_assumed-767893562,3,reference_assumed,767893562,10,10,True,,user_exit,300.16492,3001.6492,11128.246005739058,140,13,0.02936483407393098
LOCAL-final-q3-reference_assumed-1077061507,3,reference_assumed,1077061507,12,12,True,,user_exit,245.7407668333333,2948.889202,11064.446016414262,129,4,0.03469958296045661
LOCAL-final-q3-reference_assumed-497013704,3,reference_assumed,497013704,16,16,True,,user_exit,199.58183475,3193.309356,12721.546784586091,117,6,0.03062145900912583
LOCAL-final-q3-reference_assumed-1740675741,3,reference_assumed,1740675741,12,12,True,,user_exit,278.3494820833333,3340.193785,12960.968926093941,131,3,0.038762499927543104
LOCAL-final-q3-reference_assumed-1274393902,3,reference_assumed,1274393902,12,12,True,,user_exit,247.27074158333335,2967.248899,11026.244498593904,132,1,0.027377124992199242
LOCAL-final-q3-reference_assumed-1234982061,3,reference_assumed,1234982061,11,11,True,,user_exit,243.22293154545457,2675.452247,9887.261239945488,122,3,0.02036529197357595
LOCAL-final-q3-reference_assumed-260648872,3,reference_assumed,260648872,12,12,True,,user_exit,247.12314633333335,2965.477756,11012.388782777518,136,8,0.024284415994770825
LOCAL-final-q3-reference_assumed-861686280,3,reference_assumed,861686280,12,12,True,,user_exit,221.85652825,2662.278339,9686.391703089139,129,7,0.027128875022754073
LOCAL-final-q3-reference_assumed-1528127779,3,reference_assumed,1528127779,13,13,True,,user_exit,246.2583880769231,3201.359045,12341.795221591376,130,6,0.0377297920640558
LOCAL-final-q3-reference_assumed-2142220311,3,reference_assumed,2142220311,16,16,True,,user_exit,207.4537245,3319.259592,13231.29794768332,120,5,0.030238375067710876
LOCAL-final-q3-reference_assumed-547927108,3,reference_assumed,547927108,15,15,True,,user_exit,212.84637586666668,3192.695638,12348.478197588924,128,5,0.03555545909330249
LOCAL-final-q3-reference_assumed-398370288,3,reference_assumed,398370288,15,15,True,,user_exit,200.8385094,3012.577641,11617.88820494812,122,5,0.04374962509609759
LOCAL-final-q3-reference_assumed-1518097813,3,reference_assumed,1518097813,16,16,True,,user_exit,216.423839,3462.781424,13523.907133868497,136,9,0.03537958301603794
LOCAL-final-q3-reference_assumed-836635060,3,reference_assumed,836635060,12,12,True,,user_exit,243.89426616666665,2926.731194,11058.655972670307,128,8,0.028903207974508405
LOCAL-final-q3-reference_assumed-523802310,3,reference_assumed,523802310,14,14,True,,user_exit,240.17634042857142,3362.468766,13007.343826699082,135,7,0.04225654201582074
LOCAL-final-q3-reference_assumed-662106092,3,reference_assumed,662106092,11,11,True,,user_exit,249.67990818181818,2746.47899,10277.394961228836,124,8,0.01951458305120468
LOCAL-final-q3-reference_assumed-1312614476,3,reference_assumed,1312614476,16,16,True,,user_exit,205.2057933125,3283.292693,13036.463453759014,122,7,0.04875879094470292
LOCAL-final-q3-reference_assumed-1368975556,3,reference_assumed,1368975556,10,10,True,,user_exit,290.3475815,2903.475815,10832.379076275884,131,8,0.028488333919085562
LOCAL-final-q3-reference_assumed-312083342,3,reference_assumed,312083342,15,15,True,,user_exit,241.478574,3622.17861,14055.893049412283,144,6,0.035269416985102
LOCAL-final-q3-reference_assumed-2023236244,3,reference_assumed,2023236244,16,16,True,,user_exit,214.91484775,3438.637564,13273.187818022257,141,10,0.036415499984286726
LOCAL-final-q3-reference_assumed-1997973752,3,reference_assumed,1997973752,10,10,True,,user_exit,283.5510809,2835.510809,10447.554040029852,130,3,0.02459216699935496
LOCAL-final-q3-reference_assumed-1748709290,3,reference_assumed,1748709290,13,13,True,,user_exit,219.88401223076923,2858.492159,10887.460791028974,121,5,0.02534383290912956
LOCAL-final-q3-reference_assumed-1956250307,3,reference_assumed,1956250307,16,16,True,,user_exit,200.674338125,3210.78941,12253.947041152785,135,6,0.049215000006370246
LOCAL-final-q3-reference_assumed-453340213,3,reference_assumed,453340213,13,13,True,,user_exit,234.44629638461538,3047.801853,11324.009245942618,138,6,0.030276749981567264
LOCAL-final-q3-reference_assumed-1021894739,3,reference_assumed,1021894739,11,11,True,,user_exit,329.14270563636364,3620.569762,14232.8488014346,136,5,0.047495707985945046
LOCAL-final-q3-reference_assumed-1289676171,3,reference_assumed,1289676171,16,16,True,,user_exit,210.6255266875,3370.008427,12920.04214177672,143,13,0.05187724996358156
LOCAL-final-q3-reference_assumed-1310090657,3,reference_assumed,1310090657,11,11,True,,user_exit,260.3555805454546,2863.911386,10339.556933602698,140,6,0.027345499955117702
LOCAL-final-q3-reference_assumed-1371284377,3,reference_assumed,1371284377,12,12,True,,user_exit,263.025214,3156.302568,11881.512844546547,137,5,0.03178808302618563
LOCAL-final-q3-reference_assumed-291895626,3,reference_assumed,291895626,13,13,True,,user_exit,213.77002007692306,2779.010261,10305.051291835078,128,7,0.029826791025698185
LOCAL-final-q3-reference_assumed-1937660034,3,reference_assumed,1937660034,15,15,True,,user_exit,202.3017084,3034.525626,11682.628116775386,124,6,0.039704416994936764
LOCAL-final-q3-reference_assumed-1751159828,3,reference_assumed,1751159828,15,15,True,,user_exit,213.35757180000002,3200.363577,11961.817878321846,145,10,0.03869808302260935
LOCAL-final-q3-reference_assumed-217989136,3,reference_assumed,217989136,10,10,True,,user_exit,276.2125477,2762.125477,10365.62738290305,122,6,0.02817462501116097
LOCAL-final-q3-reference_assumed-776566696,3,reference_assumed,776566696,13,13,True,,user_exit,226.97997746153848,2950.739707,11238.698541161053,123,2,0.0344423339702189
LOCAL-final-q3-reference_assumed-1905196333,3,reference_assumed,1905196333,14,14,True,,user_exit,210.62803107142855,2948.792435,11293.96218345249,124,8,0.03297604201361537
LOCAL-final-q3-reference_assumed-2089914180,3,reference_assumed,2089914180,13,13,True,,user_exit,237.86178592307695,3092.203217,11726.016077263424,133,7,0.024529749993234873
LOCAL-final-q3-reference_assumed-1727381501,3,reference_assumed,1727381501,11,11,True,,user_exit,254.62071727272726,2800.82789,10439.139449662365,126,6,0.020572082954458892
LOCAL-final-q3-reference_assumed-577352776,3,reference_assumed,577352776,16,16,True,,user_exit,203.4377948125,3255.004717,12880.023578792754,124,11,0.051183082978241146
LOCAL-final-q3-reference_assumed-113672572,3,reference_assumed,113672572,16,16,True,,user_exit,175.2447765,2803.916424,10704.582108065873,122,12,0.03502991597633809
LOCAL-final-q3-reference_assumed-944028935,3,reference_assumed,944028935,11,11,True,,user_exit,262.9239849090909,2892.163834,10890.819162623331,126,5,0.033251165994443
LOCAL-final-q3-reference_assumed-1637087785,3,reference_assumed,1637087785,13,13,True,,user_exit,240.08603846153846,3121.1185,12165.592511453451,122,6,0.031571874977089465
LOCAL-final-q3-reference_assumed-2085534289,3,reference_assumed,2085534289,10,10,True,,user_exit,279.6946539,2796.946539,10099.732687824864,136,4,0.022932833060622215
LOCAL-final-q3-reference_assumed-1662839802,3,reference_assumed,1662839802,13,13,True,,user_exit,245.10246638461538,3186.332063,12156.660299929656,135,9,0.0318220000481233
LOCAL-final-q3-reference_assumed-1207098925,3,reference_assumed,1207098925,10,10,True,,user_exit,295.0677118,2950.677118,11078.385582383738,128,3,0.019010665942914784
