case_id,mode,group,seed_cluster,cleared_count,source_count,complete,error,exit_reason,average_clear_time_s,total_virtual_time_s,distance_m,requests,clear_failures,program_runtime_s
LOCAL-final-q3-reference_assumed-542637487,3,reference_assumed,542637487,15,15,True,,user_exit,191.63423593333334,2874.513539,10597.567693578278,133,4,0.012021749978885055
LOCAL-final-q3-reference_assumed-379721249,3,reference_assumed,379721249,14,14,True,,user_exit,215.3870255,3015.418357,11442.09178499798,128,3,0.008759042015299201
LOCAL-final-q3-reference_assumed-138718803,3,reference_assumed,138718803,13,13,True,,user_exit,252.68422838461538,3284.894969,12809.474835098943,127,3,0.011442583054304123
LOCAL-final-q3-reference_assumed-706083910,3,reference_assumed,706083910,15,15,True,,user_exit,206.92432706666665,3103.864906,11914.324519504755,127,3,0.011952333967201412
LOCAL-final-q3-reference_assumed-1589673444,3,reference_assumed,1589673444,12,12,True,,user_exit,238.1024645,2857.229574,10501.147861892614,133,4,0.009463875088840723
LOCAL-final-q3-reference_assumed-1318552240,3,reference_assumed,1318552240,10,10,True,,user_exit,277.0822461,2770.822461,10049.112300726,132,2,0.0056748330825939775
LOCAL-final-q3-reference_assumed-1920603491,3,reference_assumed,1920603491,15,15,True,,user_exit,195.7591608,2936.387412,10941.937053820113,132,4,0.010236082947812974
LOCAL-final-q3-reference_assumed-660545497,3,reference_assumed,660545497,12,12,True,,user_exit,256.02749616666665,3072.329954,11646.649763205372,129,1,0.008953541982918978
LOCAL-final-q3-reference_assumed-585073781,3,reference_assumed,585073781,11,11,True,,user_exit,255.31736727272727,2808.49104,10327.455201121888,129,1,0.007218915969133377
LOCAL-final-q3-reference_assumed-1409103709,3,reference_assumed,1409103709,11,11,True,,user_exit,242.74514054545455,2670.196546,9845.982730053678,122,1,0.007529166992753744
LOCAL-final-q3-reference_assumed-1472757889,3,reference_assumed,1472757889,10,10,True,,user_exit,310.0147974,3100.147974,11580.739868436865,137,4,0.0055296249920502305
LOCAL-final-q3-reference_assumed-1822718464,3,reference_assumed,1822718464,13,13,True,,user_exit,267.5995488461539,3478.794135,13463.970668061133,138,3,0.009816708043217659
LOCAL-final-q3-reference_assumed-1345464915,3,reference_assumed,1345464915,15,15,True,,user_exit,224.60734886666665,3369.110233,12880.551167204552,139,3,0.009890165994875133
LOCAL-final-q3-reference_assumed-1296697544,3,reference_assumed,1296697544,12,12,True,,user_exit,251.9338135,3023.205762,11386.028800736065,132,5,0.008843041025102139
LOCAL-final-q3-reference_assumed-1324213427,3,reference_assumed,1324213427,12,12,True,,user_exit,261.28849483333335,3135.461938,12002.309695215052,128,1,0.010775749920867383
LOCAL-final-q3-reference_assumed-596427591,3,reference_assumed,596427591,13,13,True,,user_exit,210.2837569230769,2733.68884,10088.444200898251,125,2,0.010960750048980117
LOCAL-final-q3-reference_assumed-542945113,3,reference_assumed,542945113,11,11,True,,user_exit,250.78156818181816,2758.59725,9932.986247779552,135,3,0.008991040987893939
LOCAL-final-q3-reference_assumed-767893562,3,reference_assumed,767893562,10,10,True,,user_exit,301.99444090000003,3019.944409,11194.72203432693,137,5,0.006393874995410442
LOCAL-final-q3-reference_assumed-1077061507,3,reference_assumed,1077061507,12,12,True,,user_exit,245.04737266666666,2940.568472,11067.842376132405,126,1,0.012627167045138776
